순번,출원일,출원번호,등록일,등록번호,주발명자,공동발명자,출원의 명칭(한),분야별 기술(6T),데이터기준일
237,2021-11-26,10-2021-0165213,2024-01-10,10-2624982,김성수,"김성수,홍현수,SARFRAZ MUHAMMAD SALMAN,온승윤,정재문","굽힘 변형 측정이 가능한 복합재, 이를 포함하는 스프링 및 그 제조방법",나노기술(NT),2024-12-31
238,2022-01-20,10-2022-0008714,2024-10-29,10-2725277,이행기,"이행기,김나루,길태건",콘크리트 구조물의 탄산화 양생용 거푸집 시스템 및 이를 이용한 콘크리트의 탄산화 양생 방법,환경/에너지기술(ET),2024-12-31
239,2021-10-15,10-2021-0137093,2024-02-28,10-2643198,장인권,"장인권,고혁진,천봉주",노드-링크 그래프 기반 골 미세구조 표현을 활용한 인공신경망으로 재구성된 골격계 영상의 골 미세구조 연결성 복구를 위한 컴퓨터 장치 및 그의 방법,생명공학기술(BT),2024-12-31
240,2021-12-08,10-2021-0174523,2024-11-05,10-2727790,김철,"김철,이상현",센서 거리 변화에 의한 왜곡을 경감시키는 실시간 광용적맥파 동잡음 감쇠를 위한 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
241,2021-12-01,10-2021-0170076,2024-12-26,10-2748569,조병진,"조병진,박영근,정재중,노세민",선택적 레이저 열처리를 통한 모놀리식 3D 상부소자를 포함하는 다층 게이트 캐퍼시터 및 이의 제조방법,나노기술(NT),2024-12-31
242,2021-09-28,10-2021-0127935,2024-08-12,10-2695726,정명수,"정명수,국동현,권미령",컴퓨팅 장치 및 스토리지 카드,정보기술(IT),2024-12-31
243,2021-12-22,10-2021-0185257,2024-08-28,10-2701668,제민규,"제민규,조동희,김철",부하 구동 장치,정보기술(IT),2024-12-31
244,2021-11-30,10-2021-0169535,2024-04-24,10-2661792,이현주,"이현주,강기훈,임진규",산화 이리듐계 전기화학 촉매 및 그 제조방법,나노기술(NT),2024-12-31
245,2021-11-30,10-2021-0169537,2024-08-20,10-2698379,김종환,"김종환,송택진,정종오,김영민",딥러닝 기반 장애물 검출 시스템 및 방법,정보기술(IT),2024-12-31
246,2021-11-23,10-2021-0162698,2024-11-28,10-2737769,김민수,"김민수,박힘찬,박성우",시뮬레이션 기반 그래프 처리 방법 및 이를 수행하는 장치,정보기술(IT),2024-12-31
247,2021-12-28,10-2021-0189684,2024-11-28,10-2737434,조광현,"조광현,정창영",TEAD4 억제제를 포함하는 대장암 예방 또는 치료용 조성물,생명공학기술(BT),2024-12-31
248,2021-11-08,10-2021-0152377,2024-01-15,10-2626742,김일두,"김일두,조유장,임해성,김민수",2차원 형상의 흡습성 나노클레이가 비대칭으로 코팅되어 첨가된 에너지 발전기 및 에너지 발전기의 제조 방법,나노기술(NT),2024-12-31
249,2021-11-25,10-2021-0164450,2024-04-22,10-2660812,강정구,"강정구,이희빈,박동규,김기환",원자수준의 백금이 담지된 비정질 형태의 C60-x 풀러렌 수소 저장 소재의 제조 및 이를 이용한 수소 저장의 구현,나노기술(NT),2024-12-31
250,2022-01-06,10-2022-0002320,2024-11-06,10-2728823,임성갑,"임성갑,강석조,이민석,전동민",배양 기판의 표면 에너지 조절을 통한 수지상 세포 분화 및 성장 유도 배양법,생명공학기술(BT),2024-12-31
251,2022-03-18,10-2022-0033916,2024-03-28,10-2653854,이정익,"이정익,손인우,최성욱,김종원,김정,이희성",비활성 기체 액화장치,환경/에너지기술(ET),2024-12-31
252,2021-11-18,10-2021-0159552,2024-01-11,10-2625426,남택진,"남택진,조광민,조형준,김태완",이동형 오폐수 처리장치,나노기술(NT),2024-12-31
253,2021-12-29,10-2021-0190937,2024-11-18,10-2733001,전원주,"전원주,유현빈,김지완",면적 분할을 이용한 광대역 흡음장치,정보기술(IT),2024-12-31
254,2022-03-17,10-2022-0033573,2024-12-31,10-2750288,배현민,"배현민,오석환,김명기,김영민,정구일",의료 초음파의 정량적 이미징 방법 및 장치,생명공학기술(BT),2024-12-31
255,2021-12-10,10-2021-0176567,2024-08-12,10-2695575,김천곤,"김천곤,장우혁,장민수,김솔",금속 코팅 섬유를 안테나 패치로 이용한 구조 안테나,우주항공기술(ST),2024-12-31
256,2021-11-17,10-2021-0158722,2024-08-07,10-2694292,최재식,"최재식,박범진,강청웅",다중 로봇에 복수의 작업을 할당하는 방법 및 장치,정보기술(IT),2024-12-31
257,2021-11-15,10-2021-0156923,2024-08-07,10-2694286,이기혁,"이기혁,안성근,김태준,김연수,박휘성",전자 장치의 관심 영역 시각화 방법,정보기술(IT),2024-12-31
258,2021-11-15,10-2021-0156921,2024-02-05,10-2635076,이기혁,"이기혁,김선범,김연수,박근우,윤은혜,박휘성",컨트롤러 및 그의 동작 방법,정보기술(IT),2024-12-31
259,2021-11-10,10-2021-0154223,2024-04-24,10-2661819,최호진,"최호진,임채균",시간적 관계정보의 컨텍스트 이해를 위한 오픈 도메인 정보 활용 방법,정보기술(IT),2024-12-31
260,2023-01-13,10-2023-0005498,2024-12-03,10-2739327,안승영,"안승영,신유준,이재원,박동렬,이창민,우성호",무선 전력 전송 시스템,정보기술(IT),2024-12-31
261,2021-11-11,10-2021-0154973,2024-04-01,10-2654852,명현,"명현,이응창,최준호,신성재,정광익",이동 로봇 및 이의 위치 추정 방법,정보기술(IT),2024-12-31
262,2022-01-05,10-2022-0001569,2024-03-20,10-2651047,안승영,"안승영,신유준,우성호,손석현,이창민,이철,은희현,곽규민,최석민",무선전력전송 시스템의 송수신코일 간 결합계수 산출 장치 및 방법,정보기술(IT),2024-12-31
263,2021-10-01,10-2021-0130686,2024-02-28,10-2643601,예종철,"예종철,권태성",가역적 뉴럴 네트워크를 이용한 효율적 비지도 학습 기반 저 선량 엑스선 전산단층 촬영 영상 처리 방법 및 장치,정보기술(IT),2024-12-31
264,2021-10-01,10-2021-0130970,2024-09-04,10-2704944,조성환,"조성환,최한길,이상흥",대역폭과 무관한 빠른 변조가 가능한 위상고정루프 기반의 주파수 변조 시스템 및 그 방법,정보기술(IT),2024-12-31
265,2022-01-26,10-2022-0011715,2024-08-01,10-2692522,오지훈,"오지훈,김도희",알코올의 산화 반응용 촉매 및 이의 제조방법,환경/에너지기술(ET),2024-12-31
266,2022-02-21,10-2022-0022321,2024-10-07,10-2715946,유승화,"유승화,정지영,김용태,박진규",복합재 유효 거동 예측 모델의 생성 방법 및 생성 장치,정보기술(IT),2024-12-31
267,2021-11-10,10-2021-0153901,2024-03-21,10-2651481,정희태,"정희태,송지윤,김찬솔,정현수","단일 및 다성분계 나노입자 고밀도화, 고균일화 및 그 제조방법",나노기술(NT),2024-12-31
268,2022-01-19,10-2022-0007747,2024-11-05,10-2727722,유홍기,"유홍기,김완준,김완배",근적외선 분광분석법 기반의 조직 검사 적합도 판단 장치 및 방법,생명공학기술(BT),2024-12-31
269,2021-12-17,10-2021-0182196,2024-08-20,10-2698264,강지훈,"강지훈,장민성,한성수",양방향 인터페이스 조합기를 지원하는 하드웨어 기술 언어,정보기술(IT),2024-12-31
270,2022-01-11,10-2022-0004049,2024-07-30,10-2691100,최재혁,"최재혁,박선의,유세연,최서진",파워게이팅 인젝션 락킹 주파수 체배기 기반의 위상 감지기를 이용한 초저잡음 저전력 W/D-밴드 위상고정루프,정보기술(IT),2024-12-31
271,2022-01-25,10-2022-0010679,2024-08-06,10-2693986,박제균,"박제균,김휘수",액적 포획 구조 어레이 및 이를 이용한 스페로이드 전달 및 스페로이드 어레이의 형성 방법,생명공학기술(BT),2024-12-31
272,2021-10-13,10-2021-0135440,2024-04-22,10-2660745,예종철,"예종철,송준영",연합학습 및 비지도 학습 기반 뉴럴 네트워크를 이용한 개인정보를 보호하는 영상 변환 방법 및 그 장치,정보기술(IT),2024-12-31
