순번,출원일,출원번호,등록일,등록번호,주발명자,공동발명자,출원의 명칭(한),분야별 기술(6T),데이터기준일
405,2022-07-12,10-2022-0085714,2024-01-09,10-2624772,윤세영,"윤세영,정송,이용식,오지환",최적의 초소 위치 선정을 위한 시뮬레이션 방법 및 이를 위한 시뮬레이션장치,정보기술(IT),2024-12-31
406,2022-11-11,10-2022-0150662,2024-12-02,10-2738891,이성주,"이성주,공태식,윤형준,이택경,안재하",시간 축에 따른 사전 이동성을 활용한 지리적 애드혹 라우팅 강화학습 방법 및 이를 위한 컴퓨터 장치,정보기술(IT),2024-12-31
407,2022-04-04,10-2022-0041802,2024-03-15,10-2649630,공경철,"공경철,이수민,조현태,윤용탁,공경철",케이블 견인 구동장치 및 이를 포함하는 착용형 슈트,나노기술(NT),2024-12-31
408,2022-06-29,10-2022-0079445,2024-06-11,10-2675511,김용희,김용희,다층구조 핵연료 피복관 제조 방법 및 다층구조 핵연료 피복관 제조 장치,나노기술(NT),2024-12-31
409,2022-10-24,10-2022-0137732,2024-12-12,10-2743930,김지환,"김지환,서준호",조셉슨 효과를 이용한 마이크로파 대역의 표면파 생성 소자 및 방법,나노기술(NT),2024-12-31
410,2022-06-20,10-2022-0075186,2024-03-06,10-2646338,윤세영,"윤세영,배상민,오재훈,김상묵,신재우,김성윤,정우진",향상된 표상을 위한 연합학습 알고리즘,정보기술(IT),2024-12-31
411,2022-10-19,10-2022-0135059,2024-01-24,10-2630328,이현주,"이현주,이태민,이상목",습도센서 모듈과 이를 구비하는 습도 측정장치 및 이를 이용하는 습도측정 방법 ,정보기술(IT),2024-12-31
412,2022-09-16,10-2022-0117007,2024-06-12,10-2675904,한동수,"한동수,이윤헌,김창준,최보현,이기훈,이준구,이증락",저궤도 위성 네트워크 구성 방법 및 장치,정보기술(IT),2024-12-31
413,2022-11-09,10-2022-0148883,2024-01-24,10-2630332,이현주,"이현주,김미경,Jia Chee Leong,김기업",생체탐침 모듈과 이를 구비하는 생체정보 검출장치 및 생체탐침모듈의제조방법,정보기술(IT),2024-12-31
414,2022-07-20,10-2022-0089863,2024-09-30,10-2713966,김규태,"김규태,이태송","인젝터, 이를 포함하는 연소기 및 이를 포함하는 가스 터빈",환경/에너지기술(ET),2024-12-31
415,2022-08-17,10-2022-0102960,2024-04-02,10-2655393,신진우,"신진우,김서진,정종헌",적대적 강인성을 위한 신경망모델의 학습방법 및 이를 위한 장치,정보기술(IT),2024-12-31
416,2022-10-14,10-2022-0132563,2024-02-15,10-2638369,노준용,"노준용,김혜민,조경민",모션 클립의 보정 방법 및 장치,문화기술(CT),2024-12-31
417,2022-12-14,10-2022-0174790,2024-12-18,10-2746022,이행기,"이행기,김나루,박지훈,장대익",균열자가진단 및 자가치유가 가능한 콘크리트 구조물 및 콘크리트 구조물의 모니터링 시스템,정보기술(IT),2024-12-31
418,2022-08-31,10-2022-0109670,2024-12-12,10-2743711,유홍기,"유홍기,이동령",원격 초점 조절과 공초점을 이용한 구강 내 치아 스캐너 및 이에 의한 스캐닝 방법,정보기술(IT),2024-12-31
419,2023-03-24,10-2023-0038738,2024-01-10,10-2625027,이현주,"이현주,국건",공간 초음파 변조기 및 이를 구비하는 초음파 장치와 이를 이용한 진폭변조 초음파의 생성방법 ,생명공학기술(BT),2024-12-31
420,2022-08-03,10-2022-0096725,2024-08-06,10-2693987,이재우,"이재우,양정우,김호동",이산화탄소가 함유된 가스로부터의 계층적 탄소소재에 단일 금속원자 촉매 및 질소 원자가 포함된 다공성 복합체를 제조하는 방법,환경/에너지기술(ET),2024-12-31
421,2022-10-14,10-2022-0132382,2024-11-12,10-2731174,윤준보,"윤준보,김태수,이용복,이소영,이승준",기계식 비휘발성 메모리 장치 및 기계식 메모리,나노기술(NT),2024-12-31
422,2022-12-12,10-2022-0172961,2024-11-12,10-2730654,안승영,"안승영,최세민,허성렬,김해림,우성호",이중모드 멀티코일 무선전력전송 시스템 ,정보기술(IT),2024-12-31
423,2021-07-22,10-2021-0096446,2024-02-07,10-2636472,최학준,"최학준,조동호,정구호,홍순만",고정형/이동형 무선 급전패드와 차량의 임의의 공간에 장착이 가능한 무선 집전패드와 레귤레이터,정보기술(IT),2024-12-31
424,2022-08-31,10-2022-0110216,2024-12-26,10-2748563,김택수,"김택수,김지훈,표재범",원격 제어가 가능한 반자기 부상 로터 및 이를 이용한 소프트 액츄에이터,정보기술(IT),2024-12-31
425,2022-11-11,10-2022-0150920,2024-11-06,10-2728719,한승민,"한승민,최시은",벌크 금속 다층 구조체의 제조 방법,나노기술(NT),2024-12-31
426,2022-11-04,10-2022-0145966,2024-07-29,10-2690596,강준혁,"강준혁,유성훈",심층 강화 학습 기반의 보안 오프로딩 방법 및 상기 방법을 수행하는 무인 항공기,정보기술(IT),2024-12-31
427,2023-01-30,10-2023-0011750,2024-02-06,10-2635646,조계춘,"조계춘,이민형",가교 바이오폴리머를 포함하는 지반 강화용 토양 조성물 및 이를 이용한 지반 강화용 시공방법,환경/에너지기술(ET),2024-12-31
428,2022-10-17,10-2022-0132964,2024-06-28,10-2680819,김용대,"김용대,장준하,조만기,김동관,김재훈",센서 제어 유닛 간 통신 왜곡을 통한 안티드론 시스템 및 그 동작 방법,정보기술(IT),2024-12-31
429,2022-10-19,10-2022-0134846,2024-10-22,10-2722171,염지현,염지현,전자 및 양성자가 동시 도핑된 셀레늄 나노와이어 및 이의 제조방법,나노기술(NT),2024-12-31
430,2022-10-20,10-2022-0135864,2024-12-03,10-2739864,김산하,"김산하,김동근,Filippo Danilo Michelacci",3D 프린터 지지패드 및 이를 구비한 3D 프린팅 시스템,정보기술(IT),2024-12-31
431,2022-10-18,10-2022-0134395,2024-07-01,10-2681675,박상후,"박상후,김현주,한나래,김미향,이진영,이유영,강문석",플라즈마 처리를 포함하는 땅콩 겉껍질의 기능성 개선 방법,정보기술(IT),2024-12-31
432,2022-10-27,10-2022-0140468,2024-06-21,10-2678612,강준혁,"강준혁,김상혁,차서현",송신안테나 모델링 방법 및 이를 위한 모델링 장치,문화기술(CT),2024-12-31
433,2022-10-21,10-2022-0136660,2024-08-14,10-2696685,김종환,"김종환,홍찬솔,이경민",경기장 바닥면의 마찰계수 가변 제어를 이용한 인공지능 로봇축구 시뮬레이션 경기 제어 방법 ,정보기술(IT),2024-12-31
434,2022-09-15,10-2022-0116511,2024-04-22,10-2660894,장석복,"장석복,함원석,최훈철,지엔뽀장",피리미딘-2-아민 화합물의 제조방법,나노기술(NT),2024-12-31
435,2022-12-21,10-2022-0180237,2024-11-25,10-2735566,최준일,"최준일,차지훈,김환진",와이파이 채널 상태 정보를 활용한 심층 신경망 기반의 실내 적응형 사람 인지 방법 및 시스템,정보기술(IT),2024-12-31
436,2022-11-02,10-2022-0144369,2024-09-24,10-2711338,공경철,"공경철,고찬영,최상욱,윤용탁,공경철",착용형 로봇의 제어방법,나노기술(NT),2024-12-31
437,2022-12-14,10-2022-0174609,2024-05-23,10-2670139,김성민,"김성민,심승우,신현호","저해상도 이미징 장치, 동작 인식 방법, 동작 인식 장치 및 동작 인식 시스템",정보기술(IT),2024-12-31
438,2023-01-03,10-2023-0000493,2024-11-07,10-2728900,김대식,"김대식,이재혁",주의 알고리즘 기반의 단일/다중 소스 이미지를 활용 가능한 고선명도 얼굴 교체 시스템 및 방법,정보기술(IT),2024-12-31
439,2022-12-21,10-2022-0181081,2024-11-15,10-2732226,한동수,"한동수,예준철,여현호",이미지 압축 및 뉴럴넷 기반 초해상화 공동 최적화 방법 및 장치,정보기술(IT),2024-12-31
440,2023-02-09,10-2023-0017315,2024-01-09,10-2624551,김민준,"김민준,정진영",회전 변위의 제약이 없는 다관절 로봇의 작업공간 유연제어 방법,정보기술(IT),2024-12-31
441,2022-12-28,10-2022-0186814,2024-07-18,10-2687398,박형순,"박형순,권혁준,박찬범",재활 운동 모니터링 시스템 및 그 모니터링 방법,생명공학기술(BT),2024-12-31
442,2022-12-19,10-2022-0178678,2024-07-19,10-2688049,김성민,"김성민,심승우,신현호","저해상도 이미징 장치, 동작 인식 방법, 동작 인식 장치 및 동작 인식 시스템",정보기술(IT),2024-12-31
443,2022-12-20,10-2022-0179530,2024-04-24,10-2661899,하동수,"하동수,Nengroo, Sarvar Hussain,진호준,이상금",신재생에너지 발전량 예측 장치 및 방법,정보기술(IT),2024-12-31
444,2023-02-09,10-2023-0017517,2024-12-24,10-2748118,오왕열,"오왕열,김경환,박현상",혈관 내에 흐르는 혈구의 직접적 이미징 방법,기타(EC),2024-12-31
445,2023-03-24,10-2023-0038496,2024-12-04,10-2740239,김주영,"김주영,김정훈,유성엽",다중 신경망 가속을 위한 확장가능 벡터-어레이 이종 가속 기 구조 및 스케쥴링 기법,정보기술(IT),2024-12-31
446,2023-01-26,10-2023-0010102,2024-05-13,10-2666630,김상현,"김상현,박주혁,금대명",저전류 영역에서의 효율 증대 마이크로 발광 다이오드 소자와 그의 제조 방법 및 그를 포함하는 디스플레이,정보기술(IT),2024-12-31
447,2023-05-16,10-2023-0063427,2024-11-15,10-2732200,조성환,"조성환,이기우,김동환",메모리 디바이스,나노기술(NT),2024-12-31
448,2023-06-09,10-2023-0074044,2024-07-31,10-2691606,조성환,"조성환,이기우,김동환",메모리 디바이스,나노기술(NT),2024-12-31
449,2023-04-03,10-2023-0043659,2024-01-10,10-2624969,김윤기,"김윤기,신민경",mRNA 번역 증가를 유도하는 mRNA 3'UTR 서열,생명공학기술(BT),2024-12-31
450,2022-12-27,10-2022-0186443,2024-02-26,10-2642059,김문철,"김문철,기세환",다양한 영상 신호 특성의 다중 모델을 이용한 영상 화질 향상 방법 및 장치,정보기술(IT),2024-12-31
451,2023-06-05,10-2023-0072140,2024-12-02,10-2738696,장대준,"장대준,김세훈,편혜미",액체 수위측정장치 및 방법,환경/에너지기술(ET),2024-12-31
452,2023-04-21,10-2023-0052937,2024-11-06,10-2728698,우운택,"우운택,김두영",원격 협업용 공유 공간 생성 방법 및 시스템,정보기술(IT),2024-12-31
453,2023-06-05,10-2023-0072136,2024-12-02,10-2738703,장대준,"장대준,김세훈,편혜미",액체 수위측정장치 및 방법,환경/에너지기술(ET),2024-12-31
454,2023-05-19,10-2023-0064892,2024-07-26,10-2690492,최인성,"최인성,한상영,윤경원",폴리페놀계 화합물 및 3가 철염을 포함하는 초분자 졸을 함유하는 항균 및 항바이러스용 코팅 필름,생명공학기술(BT),2024-12-31
455,2023-04-19,10-2023-0051620,2024-12-05,10-2741087,김주영,"김주영,조현준,한원탁,김동혁",룩-업 테이블 기반 선형 보간을 이용하는 서브어레이-레벨 프로세싱-인-메모리 구조,정보기술(IT),2024-12-31
456,2023-04-19,10-2023-0051619,2024-09-24,10-2710971,김주영,"김주영,김재영,이석진,양제,임석빈",예측기반 양자화와 삼중 이기종 구조를 가진 다중 심층신경망 학습 프로세서,정보기술(IT),2024-12-31
457,2023-04-03,10-2023-0043291,2024-10-31,10-2725945,남윤성,"남윤성,구본일,RAFIA TASNIM RAHMAN",우수한 분산 안정성을 갖는 멀티라멜라 콜라겐-지질 소포 및 그 제조방법,생명공학기술(BT),2024-12-31
458,2023-05-12,10-2023-0061695,2024-12-09,10-2742159,김성수,"김성수,박성연,온승윤",전자 패키지 몰딩 장치와 몰딩 방법 및 이를 이용하여 제작된 전자 패키지,기타(EC),2024-12-31
459,2023-07-04,10-2023-0086433,2024-07-26,10-2690517,강준혁,"강준혁,이영준,박상우,공진우",가변 학습율을 이용한 연합학습방법 및 장치,정보기술(IT),2024-12-31
460,2023-04-27,10-2023-0055368,2024-04-16,10-2659172,홍승훈,"홍승훈,오세윤,김진우,조성준",그래프 및 하이퍼그래프 처리를 위한 등변적 하이퍼그래프 신경망을 갖는 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
461,2023-06-09,10-2023-0074048,2024-12-12,10-2743561,조성환,"조성환,이기우,김동환",메모리 디바이스,나노기술(NT),2024-12-31
462,2023-05-04,10-2023-0058355,2024-07-29,10-2690863,이상엽,"이상엽,장우대",코로나바이러스감염증-19 예방 또는 치료용 약학적 조성물,생명공학기술(BT),2024-12-31
463,2023-06-26,10-2023-0081660,2024-01-16,10-2627070,이흥규,"이흥규,김재호","미생물, 및 면역관문 억제제를 유효성분으로 포함하는, 고 당분 환경에서의 뇌종양 예방 또는 치료용 조성물",생명공학기술(BT),2024-12-31
464,2023-06-26,10-2023-0082121,2024-10-16,10-2719910,김주영,"김주영,김재영,이석진,유승재,조현준,윤성웅,김동혁",비정형 희소성을 위한 멀티칩 모듈 CIM 기반의 전치 매크로를 갖는 하이브리드 희소-밀집 CIM 트랜스포머 가속기,정보기술(IT),2024-12-31
465,2023-06-26,10-2023-0082122,2024-05-29,10-2671555,김주영,"김주영,김재영,이석진,유승재,조현준,윤성웅,김동혁",재구성 가능한 RBL과 RWL 드라이버를 갖는 전력 효율적인 이중 모드 2T-임베디드 DRAM CIM 매크로,정보기술(IT),2024-12-31
466,2023-06-14,10-2023-0076310,2024-07-24,10-2689248,김주영,"김주영,임석빈,허재훈,양진호",가상 복셀과 관심 영역 기반 스킵핑을 활용한 대규모 포인트 클라우드 신경망 가속 프로세서,정보기술(IT),2024-12-31
467,2023-06-15,10-2023-0076657,2024-04-22,10-2661017,정재웅,"정재웅,카렌,정원일,양경모","체온에 의해 부드럽게 변하고 재사용이 불가능하며 온도 센싱 기능을 가진 가변강성 정맥 주사바늘, 그를 갖는 정맥 주사세트, 및 그의 제조 방법",생명공학기술(BT),2024-12-31
468,2023-07-13,10-2023-0091258,2024-07-22,10-2688596,이대영,"이대영,이성빈,조남석,이태영","스파이럴 루프 지름 가변형 휠, 그의 제작 방법, 및 그를 갖는 무인 차량",우주항공기술(ST),2024-12-31
469,2023-07-24,10-2023-0096379,2024-11-06,10-2728715,금동석,"금동석,김영석",카메라와 레이다를 이용한 3차원 환경 인지 시스템 및 그 방법,정보기술(IT),2024-12-31
470,2023-07-04,10-2023-0086509,2024-12-27,10-2749199,박해원,"박해원,엄용",전자 영구 자석 및 그 제어 방법,기타(EC),2024-12-31
471,2023-07-18,30-2023-0027521,2024-05-29,30-1262778,김형수,"김형수,박해원,박성진,박지혜",의료용 음압 챔버,생명공학기술(BT),2024-12-31
472,2023-08-07,10-2023-0102925,2024-07-24,10-2689250,김주영,"김주영,고건우,김시연,Chen, Yi,함세리,유성엽",확산 모델의 종단간 연산 수행을 지원하는 양자화 기법이 적용된 데이터 처리 프로세서,정보기술(IT),2024-12-31
473,2023-08-07,10-2023-0102924,2024-10-18,10-2721003,김주영,"김주영,김시연,고건우,Chen, Yi,함세리,유성엽",확산 모델의 합성곱과 행렬곱에서의 데이터 재사용성의 증가와 양자화 기법의 지원을 통한 고성능 고효율 어레이 프로세서,정보기술(IT),2024-12-31
474,2023-08-07,10-2023-0102923,2024-07-24,10-2689249,김주영,"김주영,김시연,고건우,Chen, Yi,함세리,유성엽",확산 모델의 경량화를 위한 양자화 기법과 보정 기법을 구현하기 위한 장치의 동작 방법 및 장치,정보기술(IT),2024-12-31
475,2023-03-23,10-2023-0038102,2024-02-07,10-2636668,김문철,"김문철,이범식",쿼드 트리를 이용한 블록 정보 부/복호화 방법 및 이러한 방법을 사용하는 장치,정보기술(IT),2024-12-31
476,2023-05-10,10-2023-0060780,2024-04-22,10-2661026,이성주,"이성주,김동휘,윤형준,김예원,한수진",동적 리소스 적응형 딥러닝 모델 추론 방법 및 상기 방법을 수행하는 딥러닝 모델 추론 장치,정보기술(IT),2024-12-31
477,2023-11-17,10-2023-0159647,2024-11-06,10-2728709,신승원,"신승원,서현민,최동민",허니팟 시스템을 구현하기 위한 전자 장치 및 이의 제어 방법,정보기술(IT),2024-12-31
478,2023-08-07,10-2023-0103199,2024-11-15,10-2732272,서동화,"서동화,이창대,이현기,정영광,양한모,박경덕,마상복",폐 배터리 완전 방전 방법,환경/에너지기술(ET),2024-12-31
479,2023-08-24,10-2023-0111243,2024-09-30,10-2713526,최지환,"최지환,장기원",공중에서의 증폭 후 전달 중계 노드를 포함한 DVB-S2 표준 기반 위성-공중-지상 통신 방법 및 시스템,우주항공기술(ST),2024-12-31
480,2023-06-16,10-2023-0077680,2024-07-26,10-2690306,김윤기,"김윤기,장지윤",SARS-CoV-2 증식억제효과를 보이는 TIS-L 표적 안티센스 올리고뉴클레오타이드,생명공학기술(BT),2024-12-31
481,2023-09-25,10-2023-0128056,2024-11-06,10-2728699,우운택,"우운택,방선영",텍스트 읽기가 수반되는 증강현실 작업을 수행하는 증강현실 시스템 및 그 방법,정보기술(IT),2024-12-31
482,2023-02-14,10-2023-0019186,2024-08-06,10-2693637,김문철,"김문철,이범식",비디오 분할 블록의 복호화 방법,정보기술(IT),2024-12-31
483,2023-10-20,10-2023-0141371,2024-11-15,10-2732358,최지환,"최지환,장기원,김성훈",16-state 터보 부호와 DVB-S2 표준 기반 FEC 부호 성능 비교 및 지상-위성 업링크 채널의 부호 대체 방법 및 시스템,우주항공기술(ST),2024-12-31
484,2023-10-19,10-2023-0140219,2024-03-08,10-2647161,박용화,"박용화,남현욱,김성후,민덕기,서호준",다중채널 음향 및 진동신호 딥러닝 기반 전차 동력장치 고장진단체계,정보기술(IT),2024-12-31
485,2023-10-06,10-2023-0133289,2024-12-05,10-2740862,조호묵,"조호묵,김동엽,정동재,신강식,이성권,조정현,김주원",네트워크 상의 테스트 타겟에 대한 대량 공격 트래픽 생성 시스템 및 그 시스템의 동작 방법,정보기술(IT),2024-12-31
486,2023-09-18,10-2023-0123892,2024-11-28,10-2737209,김문철,김문철,영상 복호화 방법,정보기술(IT),2024-12-31
487,2023-10-17,10-2023-0138705,2024-07-12,10-2686030,이진우,"이진우,김성빈,이용희,안치원,하휘헌,한희,조수호,김은지",이중 기능을 제어한 맥신 기반 슈퍼커패시터 및 스트레인 센서 이중 기능성 소자 ,나노기술(NT),2024-12-31
488,2023-10-31,10-2023-0147609,2024-05-20,10-2668496,김상규,"김상규,송준용",콩 휘발성유기화합물을 유효성분으로 함유하는 노린재 기피용 조성물 및 이의 용도,생명공학기술(BT),2024-12-31
489,2023-11-28,10-2023-0168606,2024-10-28,10-2724199,김주영,"김주영,함세리,김시연,고건우,유성엽",다중 구역 정밀도를 가진 확장 가능한 바이어스를 이용한 하드웨어 최적화 양자화 방법 및 시스템,정보기술(IT),2024-12-31
490,2023-11-08,10-2023-0153395,2024-12-20,10-2746798,이경진,"이경진,김석종,김영근,이민혁,윤석인",스핀궤도토크 난수발생기 및 이의 제조 방법,나노기술(NT),2024-12-31
491,2023-11-16,10-2023-0159523,2024-07-29,10-2691054,조호묵,"조호묵,이경석,이정호,지수근","공개 오류 정보와 코어 덤프의 유사도 산출 및 매칭 시스템, 그 시스템의 동작 방법",정보기술(IT),2024-12-31
492,2024-01-01,10-2024-0000020,2024-11-07,10-2728904,서준석,"서준석,서준석",OFDM 레이더의 주파수-공간 영역 이산 푸리에 변환 코드를 이용한 다중화 방법,정보기술(IT),2024-12-31
493,2023-12-27,10-2023-0192768,2024-07-10,10-2685079,방효충,"방효충,오승렬,김영재,임덕수,고준영","광역 합성 개구 레이더 영상에서 자동으로 표적을 탐색, 추출 및 식별하기 위한 장치 및 방법",정보기술(IT),2024-12-31
494,2023-12-22,10-2023-0189974,2024-11-07,10-2728970,한동수,"한동수,예준철","익명 네트워크의 지연 시간을 저감하는 사용자 단말기, 이를 수행하는 방법, 및 이를 포함하는 지연 시간 저감 시스템",정보기술(IT),2024-12-31
495,2023-12-08,10-2023-0177674,2024-11-06,10-2728826,신승원,"신승원,진영진,장우진,임다연,정진우,이용재,Jian Cui",사이버 보안용 언어 모델 학습 방법 및 이를 실행하는 시스템,정보기술(IT),2024-12-31
496,2023-12-07,10-2023-0176346,2024-12-17,10-2745021,조호묵,"조호묵,한찬희,이경석",실시간 계측 및 단절 인지를 통한 최적의 토르 서킷 구성 시스템 및 그 시스템의 동작 방법,정보기술(IT),2024-12-31
497,2023-12-28,30-2023-0053551,2024-12-26,30-1289172,조병관,"조병관,정찬영,김혜성",선충 분리 장치 (물품류: 제24류),생명공학기술(BT),2024-12-31
498,2023-12-04,10-2023-0173458,2024-12-02,10-2738784,이재우,"이재우,김이겸,김현석,윤상준,라호원,이재구,문태영,문지홍,윤성민,박성진",타르 개질기 일체형 가스화기,환경/에너지기술(ET),2024-12-31
499,2023-12-20,10-2023-0187075,2024-10-24,10-2723564,박용화,박용화,"전차 동력 장치의 고장 진단 시스템, 방법 및 프로그램",정보기술(IT),2024-12-31
500,2024-01-18,10-2024-0008215,2024-06-17,10-2677174,권동수,"권동수,김준영",정보 출력 장치,나노기술(NT),2024-12-31
501,2024-03-28,10-2024-0042661,2024-12-24,10-2748092,이상민,"이상민,박태관,오언택",극초음속 음향 광 변조기 및 그 제조 방법,나노기술(NT),2024-12-31
502,2023-11-20,10-2023-0161276,2024-07-30,10-2691411,손훈,"손훈,김용민,조재영,김보성",레이저 빔 조사 장치 및 방법,기타(EC),2024-12-31
503,2022-07-13,10-2022-0086031,2024-11-22,10-2734948,김영진,"김영진,김승철",그래핀 분말 제조 방법,나노기술(NT),2024-12-31
